,Category,Year,Hispanic,American Indian,Asian,Black,White,More than one race,Hispanic_percentage,American Indian_percentage,Asian_percentage,Black_percentage,White_percentage,More than one race_percentage,Female,Male,Female_percentage,Male_percentage
77,total,1999,120900.0,10600.0,390500.0,121600.0,2896600.0,0.0,0.03415061295971979,0.0029941811197107507,0.11030450257047625,0.03434834190158748,0.8182023614485058,0.0,835800.0,2705000.0,0.23604835065521915,0.7639516493447809
78,total,2000,124900.0,9700.0,509900.0,158200.0,2774600.0,0.0,0.034914600396947416,0.002711542224582786,0.14253766807368687,0.04422329689989657,0.7756128924048864,0.0,923300.0,2710000.0,0.2541215974458481,0.7458784025541518
79,total,2003,214300.0,17300.0,697100.0,215800.0,3706100.0,0.0,0.04418010143075084,0.0035665690842370014,0.14371417968911063,0.04448934152475982,0.7640498082711417,0.0,1330500.0,3597100.0,0.2700097410504099,0.72999025894959
80,total,2006,230000.0,19000.0,808000.0,197000.0,3677000.0,0.0,0.046643682822956806,0.0038531737984181707,0.16386128574325695,0.03995132833096735,0.7456905293044007,0.0,1310000.0,3714000.0,0.2607484076433121,0.7392515923566879
81,total,2008,239000.0,17000.0,824000.0,191000.0,3502000.0,0.0,0.05007332914309658,0.0035617012361198407,0.17263775403310286,0.0400167609469935,0.7337104546406872,0.0,1308000.0,3566000.0,0.26836274107509234,0.7316372589249077
82,total,2010,282000.0,10000.0,997000.0,246000.0,3772000.0,0.0,0.05313736574335783,0.001884303749764462,0.18786508385151687,0.046353872244205764,0.7107593744111551,0.0,1487000.0,3911000.0,0.2754723971841423,0.7245276028158577
83,total,2013,341000.0,11000.0,966000.0,268000.0,3961000.0,0.0,0.061474670993329726,0.0019830539030106366,0.17414818820984315,0.048314404182440956,0.7140796827113756,0.0,1639000.0,4003000.0,0.29049982275788727,0.7095001772421127
84,total,2015,387000.0,10000.0,1321000.0,308000.0,4267000.0,0.0,0.06149690131892579,0.0015890672175433022,0.2099157794374702,0.048943270300333706,0.678054981725727,0.0,1818000.0,4590000.0,0.28370786516853935,0.7162921348314607
85,total,2017,505000.0,14000.0,1338000.0,382000.0,4397000.0,0.0,0.07610006027727546,0.002109704641350211,0.20162748643761302,0.05756479807112719,0.6625979505726342,0.0,1966000.0,4803000.0,0.2904417196040774,0.7095582803959226
86,total,2019,564000.0,0.0,1543000.0,379000.0,4784000.0,0.0,0.07757909215955984,0.0,0.21224209078404402,0.052132049518569465,0.6580467675378266,0.0,2193000.0,5274000.0,0.29369224588188025,0.7063077541181197
87,total,2021,692000.0,10000.0,1665000.0,399000.0,4943000.0,0.0,0.08976520949539499,0.0012971851083149566,0.21598132053444027,0.05175768582176676,0.641198599040083,0.0,2300000.0,5594000.0,0.29136052698251835,0.7086394730174816
