,firstname,surname,born,died,bornCountry,bornCity,gender,year,category,affiliation,city,country,identity
411,Werner,Arber,1929-06-03,0000-00-00,Switzerland,Gränichen,male,1978,medicine,Biozentrum der Universität,Basel,Switzerland,
412,Daniel,Nathans,1928-10-30,1999-11-16,USA,Wilmington DE,male,1978,medicine,Johns Hopkins University School of Medicine,Baltimore MD,USA,
413,Hamilton O.,Smith,1931-08-23,0000-00-00,USA,New York NY,male,1978,medicine,Johns Hopkins University School of Medicine,Baltimore MD,USA,
414,Allan M.,Cormack,1924-02-23,1998-05-07,South Africa,Johannesburg,male,1979,medicine,Tufts University,Medford MA,USA,African
415,Godfrey N.,Hounsfield,1919-08-28,2004-08-12,United Kingdom,Newark,male,1979,medicine,Central Research Laboratories EMI,London,United Kingdom,
416,Baruj,Benacerraf,1920-10-29,2011-08-02,Venezuela,Caracas,male,1980,medicine,Harvard Medical School,Boston MA,USA,Latin American
417,Jean,Dausset,1916-10-19,2009-06-06,France,Toulouse,male,1980,medicine,Université de Paris Laboratoire Immuno-Hématologie,Paris,France,
418,George D.,Snell,1903-12-19,1996-06-06,USA,Bradford MA,male,1980,medicine,Jackson Laboratory,Bar Harbor ME,USA,
419,Roger W.,Sperry,1913-08-20,1994-04-17,USA,Hartford CT,male,1981,medicine,California Institute of Technology (Caltech),Pasadena CA,USA,
420,David H.,Hubel,1926-02-27,2013-09-22,Canada,Windsor ON,male,1981,medicine,Harvard Medical School,Boston MA,USA,
421,Torsten N.,Wiesel,1924-06-03,0000-00-00,Sweden,Uppsala,male,1981,medicine,Harvard Medical School,Boston MA,USA,
422,Sune K.,Bergström,1916-01-10,2004-08-15,Sweden,Stockholm,male,1982,medicine,Karolinska Institutet,Stockholm,Sweden,
423,Bengt I.,Samuelsson,1934-05-21,0000-00-00,Sweden,Halmstad,male,1982,medicine,Karolinska Institutet,Stockholm,Sweden,
424,John R.,Vane,1927-03-29,2004-11-19,United Kingdom,Tardebigg,male,1982,medicine,The Wellcome Research Laboratories,Beckenham,United Kingdom,
425,Barbara,McClintock,1902-06-16,1992-09-02,USA,Hartford CT,female,1983,medicine,Cold Spring Harbor Laboratory,Cold Spring Harbor NY,USA,
426,Niels K.,Jerne,1911-12-23,1994-10-07,United Kingdom,London,male,1984,medicine,Basel Institute for Immunology,Basel,Switzerland,
427,Georges J.F.,Köhler,1946-04-17,1995-03-01,Germany,Munich,male,1984,medicine,Basel Institute for Immunology,Basel,Switzerland,
428,César,Milstein,1927-10-08,2002-03-24,Argentina,Bahia Blanca,male,1984,medicine,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Latin American
429,Michael S.,Brown,1941-04-13,0000-00-00,USA,New York NY,male,1985,medicine,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,
430,Joseph L.,Goldstein,1940-04-18,0000-00-00,USA,Sumter SC,male,1985,medicine,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,
431,Stanley,Cohen,1922-11-17,2020-02-05,USA,Brooklyn NY,male,1986,medicine,Vanderbilt University School of Medicine,Nashville TN,USA,
432,Rita,Levi-Montalcini,1909-04-22,2012-12-30,Italy,Turin,female,1986,medicine,Institute of Cell Biology of the C.N.R.,Rome,Italy,
433,Susumu,Tonegawa,1939-09-05,0000-00-00,Japan,Nagoya,male,1987,medicine,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Asian
434,Sir James W.,Black,1924-06-14,2010-03-21,Scotland,Uddingston,male,1988,medicine,London University King's College Hospital Medical School,London,United Kingdom,
435,Gertrude B.,Elion,1918-01-23,1999-02-21,USA,New York NY,female,1988,medicine,Wellcome Research Laboratories,Research Triangle Park NC,USA,
